Function,PSO_mean,GA_mean,SSA_mean,PSO_std,GA_std,SSA_std
Sphere,39.50767424300942,8280.767084631729,0.10738914106263339,12.737175693959779,1414.2568172534448,0.034062836913439684
BentCigar,33922988.96896191,7179521379.22113,103736.49668291587,11537129.219425598,1608640619.7848465,27624.685935976002
Zakharov,136.63955237864653,479.95104141295053,0.04846201221152722,41.86297868603589,78.10541875246669,0.006013613333219769
Rosenbrock,107787.70683803118,941925238.3401165,39.73530336277155,55069.56252386883,364167941.9067606,2.2508330162907484
Rastrigin,72.96562575866763,339.4058150331663,58.604548447461,23.89612578522993,15.551952316030542,15.62907461725307
Ackley,3.182115340369032,19.379575776463625,0.23983173960295306,0.4753162254799733,1.46103077984173,0.009677183154779292
Griewank,1.3555690701160166,75.52690443810867,0.005313522887789168,0.1146345715440953,12.72831172557552,0.0018254382232963588
Schwefel,4375.191528867945,8481.151851138438,7638.453051440605,640.3677093800412,395.9895228910155,352.0776573253543
Levy,0.7011403740310611,136.44382019602935,1.031893128126225,0.2098823547914753,31.347282246539063,0.17102856748258757
ExpandedScafferF6,11.05775719996094,13.080703377052405,5.642057183522948,0.2965547769164727,0.13491672083203235,0.8270203716563137
